date,price
2020-01-01,45.52
2020-01-02,50.86
2020-01-03,49.98
2020-01-04,48.24
2020-01-05,48.12
2020-01-06,46.98
2020-01-07,47.38
2020-01-08,50.0
2020-01-09,50.0
2020-01-10,49.08
2020-01-11,48.41
2020-01-12,48.5
2020-01-13,47.04
2020-01-14,47.11
2020-01-15,49.82
2020-01-16,49.63
2020-01-17,48.82
2020-01-18,48.26
2020-01-19,47.88
2020-01-20,46.82
2020-01-21,47.35
2020-01-22,49.85
2020-01-23,49.65
2020-01-24,49.08
2020-01-25,48.33
2020-01-26,47.88
2020-01-27,46.9
2020-01-28,45.77
2020-01-29,49.78
2020-01-30,49.68
2020-01-31,48.97
2020-02-01,48.07
2020-02-02,47.38
2020-02-03,46.67
2020-02-04,47.0
2020-02-05,49.94
2020-02-06,49.61
2020-02-07,48.82
2020-02-08,48.39
2020-02-09,47.75
2020-02-10,46.59
2020-02-11,46.9
2020-02-12,50.0
2020-02-13,50.16
2020-02-14,49.04
2020-02-15,48.39
2020-02-16,49.0
2020-02-17,46.72
2020-02-18,47.32
2020-02-19,49.83
2020-02-20,51.09
2020-02-21,48.83
2020-02-22,48.28
2020-02-23,47.75
2020-02-24,46.86
2020-02-25,47.24
2020-02-26,49.83
2020-02-27,49.74
2020-02-28,48.74
2020-02-29,48.27
2020-03-01,47.75
2020-03-02,46.67
2020-03-03,46.94
2020-03-04,49.55
2020-03-05,49.69
2020-03-06,48.76
2020-03-07,48.22
2020-03-08,48.0
2020-03-09,46.89
2020-03-10,47.24
2020-03-11,50.04
2020-03-12,49.7
2020-03-13,49.64
2020-03-14,48.32
2020-03-15,48.0
2020-03-16,46.83
2020-03-17,48.0
2020-03-18,49.46
2020-03-19,49.54
2020-03-20,48.55
2020-03-21,48.24
2020-03-22,48.0
2020-03-23,46.59
2020-03-24,47.56
2020-03-25,49.91
2020-03-26,49.73
2020-03-27,48.43
2020-03-28,46.64
2020-03-29,45.5
2020-03-30,46.9
2020-03-31,47.54
2020-04-01,51.26
2020-04-02,49.42
2020-04-03,48.68
2020-04-04,48.18
2020-04-05,48.67
2020-04-06,46.73
2020-04-07,47.39
2020-04-08,48.5
2020-04-09,47.98
2020-04-10,47.46
2020-04-11,48.48
2020-04-12,47.62
2020-04-13,46.87
2020-04-14,48.42
2020-04-15,50.49
2020-04-16,50.0
2020-04-17,48.33
2020-04-18,47.5
2020-04-19,47.5
2020-04-20,48.41
2020-04-21,47.3
2020-04-22,50.41
2020-04-23,50.71
2020-04-24,49.16
2020-04-25,48.42
2020-04-26,47.5
2020-04-27,48.36
2020-04-28,47.21
2020-04-29,50.58
2020-04-30,51.03
2020-05-01,49.17
2020-05-02,48.33
2020-05-03,47.5
2020-05-04,48.35
2020-05-05,47.54
2020-05-06,53.06
2020-05-07,50.72
2020-05-08,50.7
2020-05-09,48.28
2020-05-10,47.88
2020-05-11,48.22
2020-05-12,47.13
2020-05-13,50.35
2020-05-14,50.73
2020-05-15,49.25
2020-05-16,48.36
2020-05-17,47.88
2020-05-18,48.18
2020-05-19,47.13
2020-05-20,50.47
2020-05-21,50.67
2020-05-22,49.33
2020-05-23,48.49
2020-05-24,47.62
2020-05-25,48.42
2020-05-26,47.19
2020-05-27,50.35
2020-05-28,50.82
2020-05-29,49.76
2020-05-30,48.82
2020-05-31,47.75
2020-06-01,48.0
2020-06-02,46.7
2020-06-03,49.15
2020-06-04,49.41
2020-06-05,48.4
2020-06-06,48.24
2020-06-07,47.5
2020-06-08,47.74
2020-06-09,46.65
2020-06-10,49.28
2020-06-11,49.58
2020-06-12,49.4
2020-06-13,48.32
2020-06-14,47.75
2020-06-15,48.09
2020-06-16,46.82
2020-06-17,49.38
2020-06-18,49.59
2020-06-19,48.88
2020-06-20,46.95
2020-06-21,47.75
2020-06-22,48.04
2020-06-23,46.84
2020-06-24,49.34
2020-06-25,49.46
2020-06-26,48.83
2020-06-27,48.42
2020-06-28,47.62
2020-06-29,47.79
2020-06-30,48.46
2020-07-01,49.13
2020-07-02,50.51
2020-07-03,48.92
2020-07-04,48.83
2020-07-05,48.17
2020-07-06,47.75
2020-07-07,47.0
2020-07-08,48.89
2020-07-09,49.11
2020-07-10,48.17
2020-07-11,48.18
2020-07-12,47.38
2020-07-13,47.56
2020-07-14,46.55
2020-07-15,48.78
2020-07-16,48.92
2020-07-17,48.09
2020-07-18,48.12
2020-07-19,47.38
2020-07-20,47.58
2020-07-21,48.19
2020-07-22,48.79
2020-07-23,49.16
2020-07-24,48.49
2020-07-25,48.57
2020-07-26,47.88
2020-07-27,47.9
2020-07-28,48.55
2020-07-29,49.2
2020-07-30,49.33
2020-07-31,49.88
2020-08-01,49.3
2020-08-02,48.5
2020-08-03,49.0
2020-08-04,49.12
2020-08-05,49.25
2020-08-06,49.08
2020-08-07,48.9
2020-08-08,49.2
2020-08-09,48.62
2020-08-10,48.58
2020-08-11,46.5
2020-08-12,49.25
2020-08-13,49.22
2020-08-14,49.2
2020-08-15,49.1
2020-08-16,49.25
2020-08-17,49.25
2020-08-18,49.25
2020-08-19,49.25
2020-08-20,49.58
2020-08-21,49.9
2020-08-22,49.9
2020-08-23,49.38
2020-08-24,48.0
2020-08-25,46.62
2020-08-26,49.38
2020-08-27,51.12
2020-08-28,50.0
2020-08-29,49.8
2020-08-30,50.0
2020-08-31,49.17
2020-09-01,46.5
2020-09-02,48.5
2020-09-03,49.1
2020-09-04,49.7
2020-09-05,49.1
2020-09-06,49.5
2020-09-07,49.33
2020-09-08,49.1
2020-09-09,48.88
2020-09-10,51.38
2020-09-11,50.0
2020-09-12,50.2
2020-09-13,49.31
2020-09-14,49.25
2020-09-15,48.62
2020-09-16,48.0
2020-09-17,51.21
2020-09-18,49.19
2020-09-19,49.65
2020-09-20,48.83
2020-09-21,49.17
2020-09-22,46.16
2020-09-23,48.16
2020-09-24,49.65
2020-09-25,49.12
2020-09-26,48.85
2020-09-27,48.62
2020-09-28,48.92
2020-09-29,46.38
2020-09-30,47.94
2020-10-01,49.52
2020-10-02,48.84
2020-10-03,48.84
2020-10-04,48.62
2020-10-05,48.75
2020-10-06,46.14
2020-10-07,47.92
2020-10-08,49.53
2020-10-09,48.88
2020-10-10,49.0
2020-10-11,48.75
2020-10-12,48.84
2020-10-13,45.93
2020-10-14,47.74
2020-10-15,49.71
2020-10-16,48.8
2020-10-17,48.97
2020-10-18,48.83
2020-10-19,48.76
2020-10-20,46.13
2020-10-21,47.93
2020-10-22,48.76
2020-10-23,48.68
2020-10-24,48.6
2020-10-25,48.61
2020-10-26,48.8
2020-10-27,45.15
2020-10-28,48.5
2020-10-29,48.64
2020-10-30,48.71
2020-10-31,48.56
2020-11-01,48.6
2020-11-02,48.63
2020-11-03,48.59
2020-11-04,48.59
2020-11-05,48.59
2020-11-06,48.32
2020-11-07,48.4
2020-11-08,48.67
2020-11-09,48.16
2020-11-10,48.39
2020-11-11,49.07
2020-11-12,48.69
2020-11-13,48.73
2020-11-14,48.86
2020-11-15,49.12
2020-11-16,49.2
2020-11-17,45.08
2020-11-18,47.65
2020-11-19,49.88
2020-11-20,50.0
2020-11-21,48.91
2020-11-22,48.91
2020-11-23,48.6
2020-11-24,45.16
2020-11-25,47.37
2020-11-26,50.07
2020-11-27,48.77
2020-11-28,48.77
2020-11-29,49.0
2020-11-30,50.0
2020-12-01,45.37
2020-12-02,47.43
2020-12-03,50.1
2020-12-04,49.33
2020-12-05,49.29
2020-12-06,48.69
2020-12-07,48.5
2020-12-08,45.73
2020-12-09,47.07
2020-12-10,49.8
2020-12-11,49.0
2020-12-12,48.89
2020-12-13,49.06
2020-12-14,48.8
2020-12-15,45.1
2020-12-16,48.17
2020-12-17,48.47
2020-12-18,49.86
2020-12-19,49.06
2020-12-20,48.88
2020-12-21,49.2
2020-12-22,49.1
2020-12-23,49.0
2020-12-24,48.91
2020-12-25,48.82
2020-12-26,48.88
2020-12-27,48.87
2020-12-28,48.8
2020-12-29,45.5
2020-12-30,49.0
2020-12-31,45.5
