date,price
2023-01-01,115.0
2023-01-02,111.41
2023-01-03,107.97
2023-01-04,103.33
2023-01-05,106.25
2023-01-06,112.92
2023-01-07,121.6
2023-01-08,129.25
2023-01-09,119.49
2023-01-10,112.5
2023-01-11,129.83
2023-01-12,141.67
2023-01-13,127.21
2023-01-14,121.14
2023-01-15,137.9
2023-01-16,122.16
2023-01-17,111.93
2023-01-18,121.26
2023-01-19,121.25
2023-01-20,121.03
2023-01-21,119.28
2023-01-22,117.52
2023-01-23,117.8
2023-01-24,108.65
2023-01-25,100.5
2023-01-26,96.25
2023-01-27,100.11
2023-01-28,88.47
2023-01-29,103.03
2023-01-30,105.41
2023-01-31,98.34
2023-02-01,95.08
2023-02-02,91.25
2023-02-03,92.87
2023-02-04,88.36
2023-02-05,96.42
2023-02-06,99.25
2023-02-07,89.86
2023-02-08,91.55
2023-02-09,88.75
2023-02-10,89.28
2023-02-11,82.71
2023-02-12,86.58
2023-02-13,76.96
2023-02-14,78.85
2023-02-15,80.6
2023-02-16,85.0
2023-02-17,80.22
2023-02-18,77.44
2023-02-19,80.97
2023-02-20,87.9
2023-02-21,80.35
2023-02-22,73.21
2023-02-23,70.0
2023-02-24,75.31
2023-02-25,75.91
2023-02-26,80.47
2023-02-27,82.04
2023-02-28,86.1
2023-03-01,82.13
2023-03-02,82.88
2023-03-03,83.64
2023-03-04,82.34
2023-03-05,87.4
2023-03-06,90.01
2023-03-07,84.25
2023-03-08,81.52
2023-03-09,80.63
2023-03-10,79.75
2023-03-11,81.88
2023-03-12,83.26
2023-03-13,87.96
2023-03-14,90.74
2023-03-15,79.99
2023-03-16,76.88
2023-03-17,78.83
2023-03-18,83.79
2023-03-19,85.7
2023-03-20,88.22
2023-03-21,83.08
2023-03-22,78.6
2023-03-23,70.62
2023-03-24,79.0
2023-03-25,71.23
2023-03-26,87.56
2023-03-27,89.4
2023-03-28,80.05
2023-03-29,77.44
2023-03-30,77.86
2023-03-31,78.27
2023-04-01,85.27
2023-04-02,99.31
2023-04-03,89.94
2023-04-04,82.73
2023-04-05,79.68
2023-04-06,75.0
2023-04-07,76.95
2023-04-08,82.77
2023-04-09,80.15
2023-04-10,80.54
2023-04-11,73.26
2023-04-12,74.54
2023-04-13,70.62
2023-04-14,70.56
2023-04-15,74.59
2023-04-16,78.3
2023-04-17,72.5
2023-04-18,75.0
2023-04-19,71.25
2023-04-20,71.25
2023-04-21,80.07
2023-04-22,80.44
2023-04-23,80.9
2023-04-24,81.36
2023-04-25,75.56
2023-04-26,74.51
