date,price
2025-01-01,45.56
2025-01-02,45.56
2025-01-03,45.56
2025-01-04,45.56
2025-01-05,45.56
2025-01-06,45.56
2025-01-07,45.56
2025-01-08,45.56
2025-01-09,45.56
2025-01-10,45.56
2025-01-11,45.56
2025-01-12,45.56
2025-01-13,45.56
2025-01-14,45.56
2025-01-15,45.56
2025-01-16,45.56
2025-01-17,45.56
2025-01-18,45.56
2025-01-19,45.56
2025-01-20,45.56
2025-01-21,45.56
2025-01-22,45.56
2025-01-23,45.56
2025-01-24,45.56
2025-01-25,45.56
2025-01-26,45.56
2025-01-27,45.56
2025-01-28,45.56
2025-01-29,45.56
2025-01-30,45.56
2025-01-31,45.56
2025-02-01,45.56
2025-02-02,45.56
2025-02-03,45.56
2025-02-04,45.56
2025-02-05,45.56
2025-02-06,45.56
2025-02-07,45.56
2025-02-08,45.56
2025-02-09,45.56
2025-02-10,45.56
2025-02-11,45.56
2025-02-12,45.56
2025-02-13,45.56
2025-02-14,45.56
2025-02-15,45.56
2025-02-16,45.56
2025-02-17,45.56
2025-02-18,45.56
2025-02-19,45.56
2025-02-20,45.56
2025-02-21,45.56
2025-02-22,45.56
2025-02-23,45.56
2025-02-24,45.56
2025-02-25,45.56
2025-02-26,45.56
2025-02-27,45.56
2025-02-28,45.56
2025-03-01,45.56
2025-03-02,45.56
2025-03-03,45.56
2025-03-04,45.56
2025-03-05,45.56
2025-03-06,45.56
2025-03-07,45.56
2025-03-08,45.56
2025-03-09,45.56
2025-03-10,45.56
2025-03-11,45.56
2025-03-12,45.56
2025-03-13,45.56
2025-03-14,45.56
2025-03-15,45.56
2025-03-16,45.56
2025-03-17,45.56
2025-03-18,45.56
2025-03-19,45.56
2025-03-20,45.56
2025-03-21,45.56
2025-03-22,45.56
2025-03-23,45.56
2025-03-24,45.56
2025-03-25,45.56
2025-03-26,45.56
2025-03-27,45.56
2025-03-28,45.56
2025-03-29,45.56
2025-03-30,45.56
2025-03-31,45.56
2025-04-01,45.56
2025-04-02,45.56
2025-04-03,45.56
2025-04-04,45.56
2025-04-05,45.56
2025-04-06,45.56
2025-04-07,45.56
2025-04-08,45.56
2025-04-09,45.56
2025-04-10,45.56
2025-04-11,45.56
2025-04-12,45.56
2025-04-13,45.56
2025-04-14,45.56
2025-04-15,45.56
2025-04-16,45.56
2025-04-17,45.56
2025-04-18,45.56
2025-04-19,45.56
2025-04-20,45.56
2025-04-21,45.56
2025-04-22,45.56
2025-04-23,45.56
2025-04-24,45.56
2025-04-25,45.56
2025-04-26,45.56
2025-04-27,45.56
2025-04-28,45.56
2025-04-29,45.56
2025-04-30,45.56
2025-05-01,45.56
2025-05-02,45.56
2025-05-03,45.56
2025-05-04,45.56
2025-05-05,45.56
2025-05-06,45.56
2025-05-07,45.56
2025-05-08,45.56
2025-05-09,45.56
2025-05-10,45.56
2025-05-11,45.56
2025-05-12,45.56
2025-05-13,45.56
2025-05-14,45.56
2025-05-15,45.56
2025-05-16,45.56
2025-05-17,45.56
2025-05-18,45.56
2025-05-19,45.56
2025-05-20,45.56
2025-05-21,45.56
2025-05-22,45.56
2025-05-23,45.56
2025-05-24,45.56
2025-05-25,45.56
2025-05-26,45.56
2025-05-27,45.56
2025-05-28,45.56
2025-05-29,45.56
2025-05-30,45.56
2025-05-31,45.56
2025-06-01,45.56
2025-06-02,45.56
2025-06-03,45.56
2025-06-04,45.56
2025-06-05,45.56
2025-06-06,45.56
2025-06-07,45.56
2025-06-08,45.56
2025-06-09,45.56
2025-06-10,45.56
2025-06-11,45.56
2025-06-12,45.56
2025-06-13,45.56
2025-06-14,45.56
2025-06-15,45.56
2025-06-16,45.56
2025-06-17,45.56
2025-06-18,45.56
2025-06-19,45.56
2025-06-20,45.56
2025-06-21,45.56
2025-06-22,45.56
2025-06-23,45.56
2025-06-24,45.56
2025-06-25,45.56
2025-06-26,45.56
2025-06-27,45.56
2025-06-28,45.56
2025-06-29,45.56
2025-06-30,45.56
2025-07-01,45.56
2025-07-02,45.56
2025-07-03,45.56
2025-07-04,45.56
2025-07-05,45.56
2025-07-06,45.56
2025-07-07,45.56
2025-07-08,45.56
2025-07-09,45.56
2025-07-10,45.56
2025-07-11,45.56
2025-07-12,45.56
2025-07-13,45.56
2025-07-14,45.56
2025-07-15,45.56
2025-07-16,45.56
2025-07-17,45.56
2025-07-18,45.56
2025-07-19,45.56
2025-07-20,45.56
2025-07-21,45.56
2025-07-22,45.56
2025-07-23,45.56
2025-07-24,45.56
2025-07-25,45.56
2025-07-26,45.56
2025-07-27,45.56
2025-07-28,45.56
2025-07-29,45.56
2025-07-30,45.56
2025-07-31,45.56
2025-08-01,45.56
2025-08-02,45.56
2025-08-03,45.56
2025-08-04,45.56
2025-08-05,45.56
2025-08-06,45.56
2025-08-07,45.56
2025-08-08,45.56
2025-08-09,45.56
2025-08-10,45.56
2025-08-11,45.56
2025-08-12,45.56
2025-08-13,45.56
2025-08-14,45.56
2025-08-15,45.56
2025-08-16,45.56
2025-08-17,45.56
2025-08-18,45.56
2025-08-19,45.56
2025-08-20,45.56
2025-08-21,45.56
2025-08-22,45.56
2025-08-23,45.56
2025-08-24,45.56
2025-08-25,45.56
2025-08-26,45.56
2025-08-27,45.56
2025-08-28,45.56
2025-08-29,45.56
2025-08-30,45.56
2025-08-31,45.56
2025-09-01,45.56
2025-09-02,45.56
2025-09-03,45.56
2025-09-04,45.56
2025-09-05,45.56
2025-09-06,45.56
2025-09-07,45.56
2025-09-08,45.56
2025-09-09,45.56
2025-09-10,45.56
2025-09-11,45.56
2025-09-12,45.56
2025-09-13,45.56
2025-09-14,45.56
2025-09-15,45.725
2025-09-16,45.89
2025-09-17,46.0
2025-09-18,45.84
2025-09-19,45.62
2025-09-20,45.76
2025-09-21,45.63
2025-09-22,45.705
2025-09-23,45.78
2025-09-24,45.8
2025-09-25,45.27
2025-09-26,45.71
2025-09-27,45.6
2025-09-28,45.62
2025-09-29,45.754999999999995
2025-09-30,45.89
2025-10-01,45.8
2025-10-02,45.53
2025-10-03,45.67
2025-10-04,45.64
2025-10-05,45.59
2025-10-06,45.61
2025-10-07,45.63
2025-10-08,45.57
2025-10-09,45.36
2025-10-10,45.7
2025-10-11,45.77
2025-10-12,45.75
2025-10-13,45.635000000000005
2025-10-14,45.52
2025-10-15,45.64
2025-10-16,45.46
2025-10-17,45.41
2025-10-18,45.64
2025-10-19,45.63
2025-10-20,45.585
2025-10-21,45.54
2025-10-22,45.49
2025-10-23,45.52
2025-10-24,45.53
2025-10-25,45.5
2025-10-26,45.55
2025-10-27,45.57
2025-10-28,45.59
2025-10-29,45.63
2025-10-30,45.68
2025-10-31,45.66
2025-11-01,45.647499999999994
2025-11-02,45.635
2025-11-03,45.6225
2025-11-04,45.61
2025-11-05,45.73
2025-11-06,45.75
2025-11-07,45.66
2025-11-08,45.71
2025-11-09,45.83
2025-11-10,45.795
2025-11-11,45.76
2025-11-12,45.59
2025-11-13,45.47
2025-11-14,45.4
2025-11-15,45.3
2025-11-16,45.6
2025-11-17,45.45
2025-11-18,45.3
2025-11-19,45.6
2025-11-20,45.51
2025-11-21,45.54
2025-11-22,45.57
2025-11-23,45.55
2025-11-24,45.595
2025-11-25,45.64
2025-11-26,45.48
2025-11-27,45.29
2025-11-28,45.34
2025-11-29,45.34
2025-11-30,45.49
2025-12-01,45.49
2025-12-02,45.49
2025-12-03,45.71
2025-12-04,45.38
2025-12-05,45.63
2025-12-06,45.43
2025-12-07,45.43
2025-12-08,45.81
2025-12-09,46.19
2025-12-10,45.29
2025-12-11,45.19
2025-12-12,45.02
2025-12-13,45.44
2025-12-14,45.31
2025-12-15,45.365
2025-12-16,45.42
2025-12-17,45.5
2025-12-18,45.38
2025-12-19,45.44
2025-12-20,45.31
2025-12-21,45.4
2025-12-22,45.39
2025-12-23,45.38
2025-12-24,45.403333333333336
2025-12-25,45.42666666666667
2025-12-26,45.45
2025-12-27,45.38
2025-12-28,45.33
2025-12-29,45.33
2025-12-30,45.33
2025-12-31,45.33
